@relation 'train-weka.filters.unsupervised.attribute.Remove-V-R28,61,67,86,130,145,147,176,232,235,287,310,332,426,470,481,649-650,873,886,1205,1769,1'

@attribute D27 numeric
@attribute D60 numeric
@attribute D66 numeric
@attribute D85 numeric
@attribute D129 numeric
@attribute D144 numeric
@attribute D146 numeric
@attribute D175 numeric
@attribute D231 numeric
@attribute D234 numeric
@attribute D286 numeric
@attribute D309 numeric
@attribute D331 numeric
@attribute D425 numeric
@attribute D469 numeric
@attribute D480 numeric
@attribute D648 numeric
@attribute D649 numeric
@attribute D872 numeric
@attribute D885 numeric
@attribute D1204 numeric
@attribute D1768 numeric
@attribute Activity numeric

@data
1,0,0.161739,0.136083,0.157895,0,0.0476,0.103989,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1
0,0,0.231313,0,0,0,0.0714,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0.157694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.102103,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0.166667,0.0833,0,0,0,0,0
1,0,0.128608,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0.416667,0,0,0.0833,0,0,0,0,0
0,0,0,0,0,0,0.214286,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.0588,0,0.00953,0.105263,0.0303,0.0238,0.145875,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.647059,0,0,0,0,0.0476,0.659804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0882,0,0,0,0,0,0.176536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.114753,0,0,0,0.571429,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
1,0.00621,0,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
1,0.0588,0.161739,0,0,0,0.0476,0.117956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0575,0,0,0,0.285714,0.106563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.055,0.0136,0,0,0,0,0.103358,0,0,0,0,0,0,0.0833,0,0,0,0,0,1,0,1
0,0.411765,0.161739,0,0,0,0.261905,0.122576,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0136,0,0,0,0.0476,0.103358,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0
0,0.235294,0,0,0,0,0,0.314516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0101,0.0566,0.011,0,0.0303,0.333333,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.055,0.0136,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0588,0,0.0622,0.105263,0.0303,0.142857,0.119249,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0.0258,0,0,0,0.190476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.10903,0,0,0,0.404762,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.123734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0407,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,1
1,0,0.0271,0,0,0,0.142857,0.103358,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,1
0,0.0294,0,0,0,0,0.0238,0.144306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0588,0,0,0,0,0.0476,0.151126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.0952,0.122246,0,0,0,0,0,0,0.166667,0.25,0,0,0,0,0,0,0
1,0,0,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,1
1,0,0.0367,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
0,0,0.0136,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0376,0.0232,0,0,0,0.261905,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.1012,0.00696,0.157895,0,0.547619,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0202,0.0566,0,0,0,0.190476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0271,0,0,0,0.119048,0.103358,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,1
1,0.0294,0.115657,0,0,0,0.142857,0.148286,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0.113879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0136,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0
1,0.0376,0.0506,0,0,0,0.333333,0.103358,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,1
1,0,0.0873,0,0,0,0.142857,0.103358,0,0,0.5,0.25,0,0,0.166667,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0.0238,0.111595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00582,0.157895,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.101501,0,0,0,0.333333,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0124,0,0,0,0,0.571429,0.202098,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,1
0,0,0.0253,0,0,0,0.142857,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0
0,0,0.161739,0,0,0,0,0.103358,0,0,0,0,0,0,0.0833,0.25,0,0,0,0,0,0,1
0,0,0,0,0,0,0.142857,0.107311,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
1,0,0.0482,0,0,0,0.285714,0.108914,0,0,0,0,0,0,0.416667,0.25,0,0,0.5,0,0,0,0
0,0,0.177035,0.011,0.157895,0,0.142857,0.103358,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.0833,0.25,0,0,0,0,1,0,0
1,0,0.0271,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0275,0.0271,0,0,0,0.0714,0.103358,0,0,0,0,0,0,0.333333,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.1012,0,0,0,0.571429,0.104589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0101,0,0,0,0,0.190476,0.13498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0759,0,0,0,0.380952,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0.142857,0.0904,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0
1,0,0.0879,0,0,0,0.52381,0.114163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.055,0.0759,0,0,0,0.47619,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0.136083,0.157895,0,0,0.103358,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,1
1,0.0588,0,0.0341,0.105263,0,0,0.157309,0,0,0,0,0,0,0.166667,0.5,0,0,0,0,0,0,1
1,0,0.0407,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
0,0.117647,0.323477,0,0,0,0,0.226881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0271,0,0,0,0.214286,0.100309,0,0,0,0,0,0,0.166667,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0.121209,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,0
1,0,0,0,0,0,0,0.103358,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1
1,0.0202,0.0566,0,0,0,0.333333,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0271,0,0,0,0.142857,0.103358,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,1
1,0,0.0136,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0136,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
0,0,0.0271,0,0,0,0.0238,0.128097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0304,0,0,0,0.119048,0.115522,0,0,0,0,0,0,0.0833,0,0,0,0,0,1,0,1
1,0.0202,0.0232,0,0,0,0.238095,0.103358,0,0,0,0,0,0,0.0833,0,0,0,0,0,0,0,0
1,0,0.106673,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.166667,0,0,0.0833,0,0,0,0,1
1,0,0.0407,0,0,0,0.0238,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0.428571,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0882,0.161739,0,0,0,0.0714,0.105437,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1
0,0,0.00246,0,0,0,0.0952,0.131586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0.0238,0.0882,0,0,0,0.25,0,0,0.166667,0.25,0,0,0,0,0,0,1
1,0.0294,0,0,0,0,0,0.145066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0304,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.161739,0.0121,0.157895,0.0303,0,0.096,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0275,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0136,0,0,0,0.0714,0.103358,0,0,0,0,0,0,0.166667,0,0,0.0833,0,0,0,0,0
1,0,0.0524,0,0,0,0.119048,0.103358,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,1
0,0,0.0747,0,0,0,0.142857,0.103358,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,0
1,0,0.0539,0,0,0,0.119048,0.103358,0,0,0,0,0,0,0.25,0,0,0,0,0,1,0,1
0,0,0.133427,0,0,0,0.357143,0.121717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.101501,0,0,0,0.404762,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
0,0.235294,0,0,0,0,0,0.361733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0759,0.00696,0.157895,0,0.309524,0.0993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.529412,0,0,0,0,0.0952,0.537385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.197915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.1174,0.00953,0.105263,0,0.214286,0.103358,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0202,0.0506,0,0,0,0.261905,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0588,0,0,0,0,0.0476,0.156421,0,0,0,0,0,0,0.166667,0.25,0,0,0,0,0,0,1
1,0,0.0136,0,0,0,0.119048,0.11652,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0
0,0,0.0942,0,0,0,0.142857,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.117765,0.0539,0.105263,0.0303,0.0952,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0682,0.0304,0,0,0,0.214286,0.136163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.12409,0,0,0,0.47619,0.103358,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,1
0,0.0588,0,0,0,0,0,0.127108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.235294,0,0.0529,0.105263,0,0.238095,0.258379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.176471,0,0,0,0,0.190476,0.23414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0275,0,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00737,0.0759,0,0,0,0.452381,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0299,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
1,0,0.0114,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
0,0.323529,0,0.044,0.0526,0.0303,0.142857,0.365039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00621,0.21776,0,0,0,0.214286,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.00621,0.0367,0,0,0,0.214286,0.10686,0,0,0,0,0,0,0.333333,0.25,0,0,0,0,1,1,1
0,0.0882,0,0.0762,0.105263,0,0.0238,0.160567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0275,0.0247,0.132008,0.157895,0,0.0476,0.113794,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
1,0,0.0271,0,0,0,0.0714,0.103358,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,1
1,0,0.107762,0,0,0,0.261905,0.106639,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
0,0,0,0.00778,0.105263,0.0606,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0.0714,0.103358,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0253,0.00852,0.157895,0,0.119048,0.103358,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.103358,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0271,0,0,0,0.214286,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0542,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,1,0,0
1,0,0.0271,0,0,0,0.166667,0.0929,0,0,0,0,0,0,0.333333,0.25,0,0,0,0,1,0,1
0,0,0.0232,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0202,0.0759,0,0,0,0.547619,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0.0304,0.0104,0,0,0.357143,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0.108745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0.190476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0588,0,0.017,0.0526,0,0.333333,0.135272,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.159473,0.0313,0,0,0,0.357143,0.239111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.204206,0.0933,0.157895,0,0.142857,0.12695,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0.153569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0464,0,0,0,0.238095,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.055,0.0642,0,0,0,0.595238,0.131708,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
0,0,0.0136,0,0,0,0.0476,0.103358,0,0,0,0.25,0,0,0,0,0,0.166667,0,0,0,0,1
0,0,0.102103,0,0,0,0.285714,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
0,0,0.0253,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0
0,0,0.0271,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0101,0.0114,0.186688,0.315789,0.0303,0.142857,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0
1,0,0.231313,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.0417,0.105263,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.112592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0211,0,0,0,0.142857,0.103358,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1
0,0.294118,0,0.00696,0.157895,0,0,0.332416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0294,0,0,0,0,0.119048,0.153989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0294,0,0,0,0,0,0.123585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0835,0.210526,0,0,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0
1,0,0.115657,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0.0238,0.105888,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0.0714,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0588,0.161739,0,0,0,0.0714,0.0884,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1
1,0.147059,0,0.0269,0,0,0,0.256476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0376,0.0879,0,0,0,0.47619,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0588,0,0,0,0,0.119048,0.110174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.00941,0.132523,0,0,0,0.333333,0.101561,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,1,1
0,0.0124,0.0566,0,0,0,0.357143,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0258,0,0,0,0.190476,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0689,0,0.0241,0.0526,0,0.285714,0.100109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0.124933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0588,0.0942,0,0,0,0.166667,0.131407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.102103,0,0,0,0.0714,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.124041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0588,0,0,0,0,0.119048,0.147712,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0.143577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0.0714,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,1
1,0.0588,0,0,0,0,0,0.164809,0,0,0,0,0,0,0.166667,0.25,0,0,0,0,0,0,1
1,0,0.0304,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,1
1,0.0588,0,0.0917,0.0526,0,0,0.132541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0271,0.00852,0.157895,0,0.0952,0.103358,0,0,0,0.25,0,0,0.333333,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0.0991,0,0,0,0.642857,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0759,0,0,0,0.52381,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0294,0,0.022,0,0,0.380952,0.160327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0588,0,0,0,0,0,0.116397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.181617,0,0,0,0.309524,0.103358,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1
1,0,0.188846,0,0,0,0.166667,0.101465,0,0,0,0.25,0,0,0.333333,0,0,0,0,0,0,0,1
1,0,0.0819,0,0,0,0.5,0.12369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.12921,0,0,0,0.0952,0.103358,0,0,0.5,0.25,0,0,0.333333,0,0,0,0,0,0,0,0
1,0.0124,0.0819,0,0,0,0.333333,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0588,0,0,0,0,0,0.140125,0,0,0,0,0,0,0.0833,0.25,0,0,0,0,0,0,1
0,0.0294,0,0.011,0,0.0303,0.333333,0.106624,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0,0
1,0.0376,0.0895,0,0,0,0.595238,0.103358,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
1,0.0294,0,0,0,0,0.0238,0.129954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0.0238,0.125949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.103358,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0
0,0.0588,0,0,0,0,0.0476,0.121958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.151799,0,0,0,0.857143,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0356,0.161739,0.114322,0.105263,0,0.214286,0.0976,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.121115,0.210526,0.0909,0.0952,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.345765,0,0,0,0.285714,0.146703,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,1
0,0,0.102103,0.0933,0.157895,0,0.166667,0.121646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.147059,0,0,0,0,0.0238,0.253836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0738,0,0,0,0.52381,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.176471,0.508407,0,0,0,0.238095,0.190237,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
1,0.0294,0,0,0,0,0,0.145643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.117647,0,0,0,0,0.0238,0.143131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0407,0,0,0,0.0476,0.103358,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1
0,0.0588,0,0,0,0,0.119048,0.141671,0,0,0,0,0,0,0.166667,0,0,0.0833,0,0,0,0,1
0,0.0294,0,0,0,0,0,0.117208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0882,0,0.0842,0.105263,0.0606,0.119048,0.204766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.124043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0278,0,0,0,0.0952,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.0173,0.105263,0,0.238095,0.103358,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,1
0,0.0101,0,0,0,0,0.119048,0.135009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0275,0,0,0,0,0.0714,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0882,0.161739,0,0,0,0.0476,0.198009,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
1,0,0.00934,0,0,0,0.142857,0.107295,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,1
1,0,0.0482,0,0,0,0.404762,0.105794,0,0,0,0,0,0,0.416667,0.25,0,0.166667,0,0,0,0,1
0,0,0,0.0933,0.105263,0,0,0.10509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.12921,0.00852,0.157895,0,0.380952,0.103358,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0167,0,0,0,0.119048,0.116523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0.12107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.138848,0,0,0,0.166667,0.103358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
